TIME_PERIOD,REF_AREA,High_Pay,Low_Pay
2021,CHL,33.2943126105951,8.72694836808872
2021,COL,25.1064481184838,11.4243491195806
2021,CRI,20.1973947609243,11.6303312479102
2021,CZE,,17.25
2021,DNK,2.64,9.54
2021,ESP,26.4829950635784,11.3788979993192
2021,EST,19.2894347378959,19.8142752046871
2021,FIN,17.1674632323403,8.35929361939368
2021,FRA,22.0101833821741,9.68787069174014
2021,GBR,,16.66
2021,HUN,,21.04
2021,ISR,27.4328896676549,23.3884786967475
2021,JPN,12.0229259147272,10.6609969844957
2021,KOR,,15.6320225695921
2021,LTU,23.8462768123633,21.6804290018053
2021,LVA,26.7778640084652,22.8675043722832
2021,MEX,22.1208737030856,13.1689229903989
2021,NLD,28.8287860481491,5.98773566554011
2021,NZL,,1.6
2021,OECD,21.8010292221833,13.916957904004
2021,SVK,,14
2021,USA,,22.69
